provinceId,code,name
13,690,آبادان
13,365,آغاجاری
13,654,امیدیه
13,658,اندیمشک
13,893,اندیکا
13,650,اهواز
13,656,ایذه
13,661,باغ ملک 
13,894,باوی
13,670,بندر امام خمینی
13,660,بندرماهشهر
13,364,بهبهان
13,692,حمیدیه
13,680,خرمشهر
13,681,خرمشهر - جزیره مینو
13,153,دزپارت
13,434,دزفول
13,652,دشت آزادگان
13,665,رامشیر
13,657,رامهرمز
13,659,شادگان
13,651,شوش
13,655,شوشتر
13,667,قلعه خواجه
13,666,گتوند
13,668,لالی
13,653,مسجدسلیمان
13,691,ملاثانی
13,366,منطقه آزاد اروند
13,663,هفتگل
13,669,هندیجان
13,662,هویزه
13,693,کارون
13,152,کرخه

		
